game_id,critic_score,user_score
1230,8.3,
1231,,
1232,,
1233,9.1,7.8
1234,,
1235,9.5,
1236,,
1237,7.8,6.1
1238,8.5,
1239,8.4,7.0
1240,5.4,
1241,,
1242,8.6,7.5
1243,,
1244,9.0,7.7
1245,8.2,6.2
1246,8.3,2.8
1247,,
1248,8.8,8.3
1249,7.5,7.3
1250,9.2,
1251,4.4,
1252,,
1253,8.8,
1254,8.2,8.7
1255,8.3,
1256,9.7,
1257,9.2,
1258,6.8,
1259,4.0,
1260,7.3,
1261,8.8,
1262,8.9,8.4
1263,2.5,
1264,9.5,
1265,1.5,
1266,8.7,8.1
1267,9.0,
1268,7.0,
1269,7.5,
1270,8.0,2.7
1271,8.8,
1272,5.5,
1273,,
1274,9.6,
1275,,
1276,6.4,
1277,6.0,
1278,9.0,
1279,9.7,9.5
1280,6.5,
1281,8.6,
1282,7.6,
1283,7.7,
1284,10.0,
1285,9.0,
1286,7.5,
1287,7.9,
1288,7.8,
1289,,
1290,7.8,
1291,8.9,
1292,6.8,8.0
1293,7.8,
1294,8.9,
1295,5.5,
1296,9.0,
1297,7.3,
1298,,
1299,,
1300,,
1301,6.3,
1302,,
1303,6.6,
1304,,
1305,6.6,
1306,6.5,
1307,7.5,
1308,,
1309,8.5,7.6
1310,7.9,
1311,,
1312,8.6,
1313,7.5,
1314,8.5,
1315,,
1316,9.3,
1317,6.2,5.6
1318,7.1,
1319,8.3,
1320,9.5,
1321,9.4,
1322,8.7,
1323,7.0,
1324,,
1325,,
1326,10.0,10.0
1327,9.6,
1328,8.9,
1329,,
1330,8.3,
1331,,
1332,8.1,
1333,5.8,
1334,4.9,
1335,,
1336,7.8,
1337,,
1338,9.0,
1339,8.7,
1340,,
1341,,
1342,,
1343,,
1344,9.1,
1345,,
1346,,
1347,7.1,
1348,7.9,
1349,9.0,
1350,7.8,5.9
1351,9.3,8.7
1352,6.7,
1353,,
1354,,
1355,7.5,
1356,3.8,
1357,5.2,
1358,8.9,
1359,,
1360,8.5,
1361,9.4,
1362,7.2,
1363,7.7,8.3
1364,9.0,
1365,9.1,
1366,9.3,
1367,8.7,
1368,7.5,
1369,7.9,7.4
1370,,
1371,8.5,
1372,6.2,6.6
1373,9.1,
1374,8.0,
1375,8.9,
1376,,
1377,,
1378,,
1379,6.0,
1380,7.7,
1381,7.9,8.1
1382,7.9,
1383,9.2,
1384,8.0,6.2
1385,,
1386,8.1,8.0
1387,,
1388,8.1,8.4
1389,8.3,
1390,,
1391,7.4,
1392,7.6,
1393,9.0,
1394,8.1,
1395,9.6,
1396,5.4,
1397,6.7,8.2
1398,8.0,
1399,,
1400,8.0,
1401,8.9,
1402,8.3,7.9
1403,8.0,
1404,7.3,
1405,7.9,
1406,8.5,
1407,8.6,
1408,5.1,
1409,,
1410,7.1,
1411,9.0,
1412,7.0,
1413,,
1414,5.3,
1415,,
1416,8.2,8.2
1417,,
1418,8.5,6.8
1419,7.5,
1420,7.2,
1421,9.0,
1422,,
1423,7.7,8.5
1424,,
1425,5.5,
1426,7.0,
1427,,
1428,7.9,
1429,8.0,
1430,8.2,9.0
1431,8.4,
1432,,
1433,6.6,6.9
1434,7.4,6.0
1435,9.3,8.0
1436,6.8,
1437,7.0,
1438,8.5,
1439,,
1440,7.2,
1441,8.6,
1442,9.3,
1443,8.5,
1444,9.2,
1445,8.9,
1446,7.4,
1447,,
1448,,
1449,7.8,2.6
1450,,
1451,7.0,
1452,8.9,6.5
1453,,
1454,8.2,
1455,4.8,4.8
1456,9.2,
1457,8.5,
1458,8.3,7.3
1459,,
1460,6.5,
1461,8.3,
1462,,
1463,,
1464,9.3,
1465,8.7,
1466,,
1467,8.7,
1468,,
1469,7.3,
1470,2.5,
1471,5.5,
1472,8.6,
1473,8.5,
1474,8.0,
1475,9.5,7.4
1476,7.7,
1477,9.0,
1478,,
1479,7.1,
1480,8.9,5.9
1481,8.8,
1482,9.0,
1483,6.4,
1484,9.1,
1485,7.3,
1486,7.9,
1487,5.4,7.0
1488,9.3,4.4
1489,7.2,8.9
1490,9.1,8.1
1491,7.7,
1492,6.3,
1493,,
1494,,
1495,7.7,
1496,8.9,
1497,,
1498,6.5,
1499,8.1,3.3
1500,,
1501,9.2,
1502,,
1503,9.0,
1504,9.1,
1505,8.6,
1506,9.5,8.4
1507,9.0,
1508,,
1509,7.9,
1510,8.4,
1511,5.7,
1512,8.0,6.6
1513,8.0,
1514,6.5,
1515,,
1516,8.1,8.7
1517,,
1518,,
1519,8.2,8.1
1520,9.1,
1521,8.7,
1522,9.1,
1523,8.9,
1524,8.5,7.9
1525,,
1526,7.1,4.9
1527,7.0,
1528,8.2,
1529,7.9,
1530,8.2,8.5
1531,,
1532,7.0,
1533,8.3,
1534,9.3,
1535,5.7,
1536,,
1537,7.9,6.9
1538,8.5,
1539,7.9,
1540,4.5,
1541,,
1542,8.1,
1543,5.0,
1544,10.0,
1545,,
1546,8.4,
1547,8.4,
1548,6.0,
1549,,
1550,,
1551,8.5,7.9
1552,6.8,
1553,6.6,
1554,8.5,
1555,8.6,
1556,7.2,7.2
1557,9.2,9.0
1558,7.0,
1559,7.9,
1560,,
1561,7.9,
1562,9.0,
1563,5.5,
1564,7.4,7.8
1565,8.6,
1566,6.8,6.2
1567,,
1568,8.4,8.5
1569,8.6,8.3
1570,7.0,
1571,,
1572,9.0,
1573,,
1574,,
1575,8.0,
1576,,
1577,,
1578,9.5,
1579,8.6,
1580,9.3,
1581,6.7,
1582,7.0,
1583,,
1584,,
1585,,
1586,5.5,
1587,,
1588,7.1,
1589,,
1590,7.5,
1591,,
1592,7.9,
1593,8.3,
1594,,
1595,6.5,7.0
1596,7.8,6.3
1597,9.3,9.6
1598,7.7,
1599,,
1600,7.2,
1601,6.3,
1602,7.0,
1603,9.0,
1604,6.0,
1605,8.9,
1606,8.5,
1607,7.3,
1608,6.5,
1609,9.0,
1610,5.6,
1611,,
1612,,
1613,9.5,
1614,,
1615,9.2,
1616,7.9,7.7
1617,7.0,
1618,5.7,
1619,,
1620,,
1621,9.2,
1622,6.9,
1623,,
1624,7.2,
1625,8.0,
1626,8.0,
1627,8.3,
1628,,
1629,8.4,
1630,7.5,
1631,8.2,
1632,7.0,
1633,7.9,
1634,,
1635,8.4,
1636,9.0,9.4
1637,6.5,6.9
1638,,
1639,7.5,
1640,8.5,
1641,8.9,
1642,9.2,
1643,8.7,
1644,7.7,
1645,8.9,
1646,,
1647,8.3,
1648,8.7,7.1
1649,9.0,
1650,8.2,
1651,,
1652,,
1653,8.4,8.4
1654,,
1655,9.5,8.2
1656,5.3,6.9
1657,8.4,
1658,7.8,
1659,8.9,
1660,7.0,3.0
1661,6.1,2.9
1662,,
1663,6.6,3.7
1664,7.7,3.6
1665,,
1666,7.5,
1667,7.7,
1668,8.1,
1669,,
1670,,
1671,8.5,6.1
1672,8.7,5.6
1673,5.6,
1674,6.4,
1675,8.4,
1676,,
1677,8.8,
1678,6.2,
1679,8.0,8.2
1680,8.8,
1681,8.0,
1682,7.7,8.3
1683,8.9,
1684,8.0,
1685,9.0,
1686,8.7,8.3
1687,8.0,
1688,7.5,
1689,8.7,
1690,3.8,
1691,8.1,
1692,8.5,
1693,9.1,
1694,5.0,
1695,,
1696,5.9,6.2
1697,,
1698,8.8,
1699,9.3,9.3
1700,,
1701,8.2,
1702,5.5,
1703,7.9,
1704,8.0,
1705,8.8,
1706,7.5,
1707,9.0,7.5
1708,,
1709,8.5,
1710,7.7,8.6
1711,7.0,
1712,,
1713,6.6,
1714,8.1,
1715,,
1716,8.2,
1717,,
1718,7.7,
1719,6.4,
1720,8.4,
1721,,
1722,8.3,7.2
1723,,
1724,8.9,
1725,4.0,
1726,6.4,
1727,,
1728,8.9,
1729,4.8,
1730,7.9,
1731,,
1732,8.1,
1733,8.1,7.3
1734,,
1735,7.9,
1736,7.7,
1737,8.2,
1738,8.5,
1739,8.0,
1740,8.0,8.8
1741,,
1742,9.3,
1743,9.0,
1744,7.9,
1745,7.7,
1746,8.6,
1747,8.9,
1748,6.8,
1749,9.0,
1750,,
1751,6.6,5.6
1752,8.8,
1753,7.3,
1754,8.3,
1755,7.9,
1756,9.4,
1757,8.0,
1758,7.4,7.5
1759,8.0,
1760,7.1,
1761,,
1762,7.0,
1763,8.3,8.3
1764,5.5,
1765,9.5,9.6
1766,,
1767,7.3,
1768,8.0,
1769,8.6,
1770,5.1,2.5
1771,7.6,
1772,,
1773,,
1774,,
1775,7.4,9.5
1776,9.2,
1777,,
1778,6.9,6.0
1779,,
1780,7.9,
1781,6.5,
1782,,
1783,9.1,5.8
1784,7.0,5.9
1785,,
1786,,
1787,6.4,
1788,,
1789,7.2,
1790,,
1791,7.9,
1792,6.3,
1793,8.9,
1794,7.9,5.8
1795,9.3,
1796,,
1797,,
1798,6.3,
1799,7.5,
1800,7.9,
1801,8.6,
1802,,
1803,9.3,
1804,7.7,7.5
1805,7.5,8.5
1806,7.6,
1807,7.0,
1808,7.5,8.0
1809,,
1810,8.0,
1811,8.5,8.0
1812,7.5,
1813,7.8,
1814,,
1815,7.1,7.0
1816,5.8,
1817,8.8,
1818,,
